"arm","rep","condition","method","n","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor"
"C",2,"mar","MOFA2",300,290,2.761,"",0.528601556804014,0.740040574185229,0.91087693854882,1,0.803049377503056,0.448553863440403,NA,0.608952156538653,0.60445490978067,1,1
"C",2,"mar","ImputeDIABLO",300,300,1.888,"",0.560580969683591,0.65603008445396,0.94912051324464,1,0.741387310568747,0.773295321745118,NA,0.727251799633934,0.404710182711177,1,1
"C",3,"complete","GRAMA",300,300,2.178,"",0.483446359773544,0.907406174484927,1,1,0.650206348936201,0.862588068768165,NA,0.483446359773544,0.907406174484927,1,1
"C",3,"complete","DIABLO",300,300,0.75,"",0.732175051343572,0.404751149349409,1,1,0.876239997762312,0.421483645146058,NA,0.732175051343572,0.404751149349409,1,1
"C",3,"complete","MOFA2",300,300,14.604,"",0.564066608851615,0.708282043545525,1,1,0.960673297954861,0.237092221326986,NA,0.564066608851615,0.708282043545525,1,1
"C",3,"mcar30","GRAMA",300,293,1.422,"",-0.0861565239069251,4.85551387850312,0.0766140922999628,0.976666666666667,0.0909041811431836,0.70787976938913,NA,-0.0681364193841652,3.39501204751944,0.155360693298864,1
"C",3,"mcar30","DIABLO",300,111,0.247999999999998,"",0.695096938475287,0.464573012392822,1,0.37,0.907984081647845,0.715681643412508,NA,0.695096938475287,0.464573012392822,1,1
"C",3,"mcar30","MOFA2",300,293,2.492,"",0.529358694767126,0.759241860278517,0.964941060224151,1,0.840334064072712,0.319293157694122,NA,0.558145035555725,0.72420199420387,1,1
"C",3,"mcar30","ImputeDIABLO",300,300,1.997,"",0.563594754036517,0.6364570017065,0.926915253994537,1,0.755431780736763,0.624996192536827,NA,0.702999758849917,0.441020652194775,1,1
"C",3,"mcar50","GRAMA",300,256,1.311,"",-0.176687211360052,2.50743887755126,0.140256882124005,0.853333333333333,0.101007038086378,1.02301175087662,NA,0.418868917537618,0.971678990167547,1,1
"C",3,"mcar50","DIABLO",300,39,0.204000000000001,"",0.648078898273962,0.517186727485996,1,0.13,0.890359391540394,0.926552078544203,NA,0.648078898273962,0.517186727485996,1,1
"C",3,"mcar50","MOFA2",300,256,2.832,"",0.411370959695677,0.923306255742309,0.783049025928978,1,0.709162349707177,0.396004478692681,NA,0.599958520559376,0.629463961630666,1,1
"C",3,"mcar50","ImputeDIABLO",300,300,1.493,"",0.425350231169302,0.896016065920975,0.748186596482271,1,0.64360282360758,0.489560758806594,NA,0.727520017236454,0.415594828513196,1,1
"C",3,"mar","GRAMA",300,287,1.4,"",-0.027127427047951,2.09379032677448,0.422913215782346,0.956666666666667,0.241766400484998,0.885329570932787,NA,0.320220628868717,1.17551497433338,1,1
"C",3,"mar","DIABLO",300,114,0.244999999999997,"",0.697356503304922,0.425322411216184,1,0.38,0.851854418913139,0.439249774082957,NA,0.697356503304922,0.425322411216184,1,1
"C",3,"mar","MOFA2",300,287,2.49700000000001,"",0.524024236519747,0.761121941232689,0.887774313102865,1,0.829563038789813,0.463824829182963,NA,0.575112566004191,0.723487982115481,1,1
"C",3,"mar","ImputeDIABLO",300,300,1.7,"",0.539073817110455,0.675455068813476,0.920086414132644,1,0.737938555097203,0.284106024702634,NA,0.722992682452701,0.401137829646425,1,1
"C",4,"complete","GRAMA",300,300,1.859,"",0.375944654967592,1.68195872477871,0.748385305327279,1,0.445148060055355,0.662998161992694,NA,0.375944654967592,1.68195872477871,0.748385305327279,1
"C",4,"complete","DIABLO",300,300,0.673999999999999,"",0.735535591245229,0.385389480035423,1,1,0.884560718565049,0.185869354492899,NA,0.735535591245229,0.385389480035423,1,1
"C",4,"complete","MOFA2",300,300,15.232,"",0.577694849498082,0.689120543131938,1,1,0.961310781448562,0.109745227908425,NA,0.577694849498082,0.689120543131938,1,1
"C",4,"mcar30","GRAMA",300,297,1.263,"",0.0449200809795139,1.89211876131666,0.316218550071837,0.99,0.247329820446035,0.417104474980208,NA,0.357436264910326,1.09642971753677,1,1
"C",4,"mcar30","DIABLO",300,102,0.224999999999998,"",0.697871934815217,0.472303871940665,1,0.34,0.909529447278201,0.297554076893966,NA,0.697871934815217,0.472303871940665,1,1
"C",4,"mcar30","MOFA2",300,297,2.339,"",0.564361587692627,0.701460837834131,0.974411385385911,1,0.838902183830543,0.653648869499781,NA,0.641043997902699,0.570515977011626,1,1
"C",4,"mcar30","ImputeDIABLO",300,300,1.514,"",0.585568922164913,0.604895361513262,0.961591730095889,1,0.775286635591131,0.501158533000652,NA,0.731185105560395,0.391904901481167,1,1
"C",4,"mcar50","GRAMA",300,262,1.183,"",-0.0402255946350693,2.40224306231058,0.173032994136517,0.873333333333333,0.128764990102065,0.558053035295813,NA,0.393123838621579,1.00366513101167,1,1
"C",4,"mcar50","DIABLO",300,45,0.184999999999999,"",0.65500285208302,0.510077506841049,1,0.15,0.873381840125009,0.978695310722424,NA,0.65500285208302,0.510077506841049,1,1
"C",4,"mcar50","MOFA2",300,262,3.594,"",0.409564395755342,0.972674651815031,0.757307718789172,1,0.660774618892729,1.06589598528622,NA,0.595160409452961,0.634063715638439,1,1
"C",4,"mcar50","ImputeDIABLO",300,300,1.394,"",0.41319532582955,0.884101695861582,0.782507037377616,1,0.638985562421817,0.314845961528226,NA,0.719305555209814,0.423600691780068,1,1
"C",4,"mar","GRAMA",300,295,1.306,"",-0.0779755463478995,6.13927960226481,0.32088710608247,0.983333333333333,0.201941135413457,0.745464458972257,NA,0.388212792883816,4.7378605064847,0.722871634416913,1
"C",4,"mar","DIABLO",300,122,0.238,"",0.667600097529449,0.467244264703891,1,0.406666666666667,0.80678974316024,0.562088104729736,NA,0.667600097529449,0.467244264703891,1,1
"C",4,"mar","MOFA2",300,295,2.037,"",0.575833562861606,0.668609484300247,0.942598639365233,1,0.874424374501856,0.330133053058611,NA,0.587866501229869,0.668268689810004,1,1
"C",4,"mar","ImputeDIABLO",300,300,1.536,"",0.565812035270137,0.634410152848541,0.964941060224151,1,0.759906309988566,0.420914944953485,NA,0.735598504600311,0.383338879905376,1,1
"C",5,"complete","GRAMA",300,300,2.042,"",0.0453917200052388,6.2379841814118,0.33112759609581,1,0.308025151913194,1.0380060060344,NA,0.0453917200052388,6.2379841814118,0.33112759609581,1
"C",5,"complete","DIABLO",300,300,0.752,"",0.727766406851942,0.403926379272981,1,1,0.874026884916229,0.337795216960335,NA,0.727766406851942,0.403926379272981,1,1
"C",5,"complete","MOFA2",300,300,17.178,"",0.561276732706856,0.719866111976456,1,1,0.965779893759002,0.143816932223932,NA,0.561276732706856,0.719866111976456,1,1
"C",5,"mcar30","GRAMA",300,290,1.336,"",0.0603993148985041,1.89469256659095,0.353620778207479,0.966666666666667,0.263657505663343,1.46537006808365,NA,0.357830641867934,1.09123628000741,1,1
"C",5,"mcar30","DIABLO",300,107,0.248000000000001,"",0.699193262467326,0.454539713417436,1,0.356666666666667,0.889168459168238,0.46445854906359,NA,0.699193262467326,0.454539713417436,1,1
"C",5,"mcar30","MOFA2",300,290,2.153,"",0.528843101115486,0.753418856577782,0.924808229272612,1,0.835627550374354,0.718301529748295,NA,0.570570507007,0.70270526232511,1,1
"C",5,"mcar30","ImputeDIABLO",300,300,1.813,"",0.57200718689516,0.626462699205323,0.916522773888166,1,0.755138906114725,0.44579373219706,NA,0.716480685041417,0.424574620207687,1,1
"C",5,"mcar50","GRAMA",300,257,1.227,"",-0.292663194156506,13.5241716968043,0.120282148748519,0.856666666666667,0.0826882347097802,1.07744983904481,NA,0.348767230802116,6.41047036925818,0.658393948528528,1
"C",5,"mcar50","DIABLO",300,39,0.282,"",0.671915006051807,0.506435999766951,1,0.13,0.880119329445484,0.789524243929521,NA,0.671915006051807,0.506435999766951,1,1
"C",5,"mcar50","MOFA2",300,257,2.66,"",0.395987693304505,0.977576280583753,0.772704074410935,1,0.629505375354378,0.963648148655922,NA,0.607685794663,0.618107501617601,1,1
"C",5,"mcar50","ImputeDIABLO",300,300,1.381,"",0.381475961677714,0.909706335441204,0.74394887244515,1,0.585131658615916,0.711119181889169,NA,0.688753767391167,0.458082675321192,1,1
"C",5,"mar","GRAMA",300,285,1.442,"",-0.131250231605149,36.3102590545274,0.051237862031452,0.95,0.0290338498070966,1.25156674638712,NA,-0.114809466709332,6.89268144798143,0.0521577169137449,1
"C",5,"mar","DIABLO",300,111,0.272999999999996,"",0.704716094488923,0.411543894556036,1,0.37,0.885053658460137,0.980246482647201,NA,0.704716094488923,0.411543894556036,1,1
"C",5,"mar","MOFA2",300,285,2.44,"",0.515073909811883,0.77650747917488,0.879892445905464,1,0.810071496593337,0.46602831296833,NA,0.561082357808111,0.687940577133092,1,1
"C",5,"mar","ImputeDIABLO",300,300,1.629,"",0.531541577705366,0.698030136495211,0.937685701416335,1,0.733804784517403,0.609330602039326,NA,0.723806116532283,0.3899285460099,1,1
"C",6,"complete","GRAMA",300,300,2.036,"",0.447480632909415,0.949284601881641,1,1,0.630096065463451,0.283092101642099,NA,0.447480632909415,0.949284601881641,1,1
