"arm","rep","condition","method","n","V","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor","ber","ber_anchor"
"A",88,"mar","ImputeDIABLO",300,2,300,3.40899999999999,"",-0.018472198752734,3.6534960479517,0.0423381448362756,1,0.0982792857422354,1.73958149176204,NA,0.00274629985903505,3.26874883201146,0.0860011283369959,1,NA,NA
"A",89,"complete","GRAMA",300,2,300,63.083,"",0.670318807376578,0.494264771423356,1,1,0.255869863930127,0.839642107556792,NA,0.670318807376578,0.494264771423356,1,1,0.62,NA
"A",89,"complete","DIABLO",300,2,300,70.927,"",0.00274616226599142,3.12312570585918,0.180110400159296,1,0.429636395633932,0.97813559152432,NA,0.00274616226599142,3.12312570585918,0.180110400159296,1,0.706666666666667,NA
"A",89,"complete","MOFA2",300,2,300,12.941,"",-0.0361165220103126,7.43886527301841,0.0893836745177617,1,0.696906050442253,0.188201684867474,NA,-0.0361165220103126,7.43886527301841,0.0893836745177617,1,NA,NA
"A",89,"mcar30","GRAMA",300,2,300,25.307,"",0.148895912614007,2.49928998670514,0.223345377172806,1,0.0849093384079702,1.07152978595272,NA,0.774067240882219,0.381641088490573,1,1,0.738450948561243,NA
"A",89,"mcar30","DIABLO",300,2,150,48.554,"",0.0516265728457764,2.42940503314922,0.24289165310791,0.5,0.298159218117395,1.71792169486467,NA,0.0516265728457764,2.42940503314922,0.225762877989547,1,0.784594633307869,NA
"A",89,"mcar30","MOFA2",300,2,300,8.68100000000001,"",-0.0407226294482211,10.0715954356312,0.0390083635914678,1,0.368711689394912,0.781212399851127,NA,-0.0506611244661447,5.8992884354896,0.0576309556536664,1,NA,NA
"A",89,"mcar30","ImputeDIABLO",300,2,300,3.65200000000002,"",-0.00748441260478403,3.22105653377581,0.0591156217236983,1,0.223901276473379,1.64177749485897,NA,0.0132223470136929,2.80481436728931,0.141290461116524,1,NA,NA
"A",89,"mcar50","GRAMA",300,2,300,7.624,"",0.0208906175422946,6.07127779393079,0.121384249018994,1,0.0868186706668972,1.22673502989081,NA,0.709968887859187,0.598736524070871,0.8396453355388,1,0.625809175344779,NA
"A",89,"mcar50","DIABLO",300,2,75,36.429,"",0.135575835080139,1.67072850760712,0.249287218721674,0.25,0.405671060890253,2.14606972081786,NA,0.135575835080139,1.67072850760712,0.249287218721674,1,0.680586828032648,NA
