"rep","arm","condition","method","sil","ber","nmi","n_used","ess","elapsed","error"
81,"D","mcar50","DenseDIABLO",0.429810729447649,0.783639971139971,1,82,0.273333333333333,1.916,NA
82,"D","complete","DenseDIABLO",0.382451005501935,0.75,0.939500054439082,300,1,4.492,NA
82,"D","mcar50","DenseDIABLO",0.453061676842238,0.827639751552795,1,73,0.243333333333333,1.749,NA
83,"D","complete","DenseDIABLO",0.376465785926657,0.766666666666667,0.92721516194053,300,1,4.744,NA
83,"D","mcar50","DenseDIABLO",0.397966894226552,0.777777777777778,0.964595247159013,80,0.266666666666667,1.875,NA
84,"D","complete","DenseDIABLO",0.37600800741342,0.75,0.919475294150104,300,1,4.429,NA
84,"D","mcar50","DenseDIABLO",0.428637940016101,0.732730263157895,1,71,0.236666666666667,1.778,NA
85,"D","complete","DenseDIABLO",0.392554037182204,0.75,0.923986531823948,300,1,5.447,NA
85,"D","mcar50","DenseDIABLO",0.422399267545087,0.723484848484849,1,70,0.233333333333333,2.324,NA
86,"D","complete","DenseDIABLO",0.381684265848211,0.75,0.92742166110899,300,1,5.539,NA
86,"D","mcar50","DenseDIABLO",0.4429033493182,0.804511278195489,1,74,0.246666666666667,2.221,NA
87,"D","complete","DenseDIABLO",0.407505155675092,0.793333333333333,0.947522923066977,300,1,5.523,NA
87,"D","mcar50","DenseDIABLO",0.446792552353881,0.757142857142857,1,71,0.236666666666667,2.16,NA
88,"D","complete","DenseDIABLO",0.378951082700122,0.773333333333333,0.927278658371572,300,1,5.513,NA
88,"D","mcar50","DenseDIABLO",0.456437636504169,0.855113636363636,1,72,0.24,2.2,NA
89,"D","complete","DenseDIABLO",0.40006578477981,0.77,0.974444050805347,300,1,5.418,NA
89,"D","mcar50","DenseDIABLO",0.437480245448152,0.808333333333333,1,92,0.306666666666667,2.511,NA
90,"D","complete","DenseDIABLO",0.38314526351485,0.793333333333333,0.92742166110899,300,1,5.493,NA
90,"D","mcar50","DenseDIABLO",0.431221565378955,0.809329710144927,1,87,0.29,2.509,NA
91,"D","complete","DenseDIABLO",0.389344579375368,0.78,0.974427610185757,300,1,5.53,NA
91,"D","mcar50","DenseDIABLO",0.441008711699932,0.780555555555556,1,68,0.226666666666667,2.096,NA
92,"D","complete","DenseDIABLO",0.394734958346851,0.713333333333333,0.927521260828061,300,1,5.453,NA
92,"D","mcar50","DenseDIABLO",0.468970666384882,0.787581699346405,1,81,0.27,2.24,NA
93,"D","complete","DenseDIABLO",0.363476910251968,0.75,0.914668282598286,300,1,4.477,NA
93,"D","mcar50","DenseDIABLO",0.417484529391961,0.837605042016807,0.958523099958362,69,0.23,1.892,NA
94,"D","complete","DenseDIABLO",0.418932323475758,0.75,0.952253217607859,300,1,4.48,NA
94,"D","mcar50","DenseDIABLO",0.461139114933474,0.775219298245614,1,76,0.253333333333333,1.806,NA
95,"D","complete","DenseDIABLO",0.415537532712643,0.75,0.949529727013537,300,1,4.441,NA
95,"D","mcar50","DenseDIABLO",0.461532531047542,0.75,1,71,0.236666666666667,1.727,NA
96,"D","complete","DenseDIABLO",0.381793955698639,0.79,0.934735886903305,300,1,4.42,NA
96,"D","mcar50","DenseDIABLO",0.409646199991819,0.75,1,69,0.23,1.773,NA
97,"D","complete","DenseDIABLO",0.374483306304206,0.776666666666667,0.919082824650242,300,1,4.763,NA
97,"D","mcar50","DenseDIABLO",0.438097693956158,0.788699690402477,1,68,0.226666666666667,1.791,NA
98,"D","complete","DenseDIABLO",0.385322680350716,0.79,0.930113127601338,300,1,4.842,NA
98,"D","mcar50","DenseDIABLO",0.442023570368987,0.75,1,70,0.233333333333333,1.723,NA
99,"D","complete","DenseDIABLO",0.383473983306839,0.75,0.905476310051976,300,1,4.794,NA
99,"D","mcar50","DenseDIABLO",0.424101220097546,0.779605263157895,1,69,0.23,1.784,NA
100,"D","complete","DenseDIABLO",0.382988148484369,0.766666666666667,0.911255787010173,300,1,4.896,NA
100,"D","mcar50","DenseDIABLO",0.401943740877125,0.838998538011696,0.964030336959301,79,0.263333333333333,1.896,NA
