"rep","parameter","value","sil_anchor","elapsed","error"
15,"gamma_y",1,0.856387645287488,0.802999999999999,""
15,"gamma_y",2,0.856389640753264,0.811,""
15,"gamma_y",5,0.856390460818803,0.837,""
15,"gamma_y",10,0.856390659713008,0.811999999999999,""
15,"gamma_y",20,0.856390740488197,0.802000000000001,""
15,"k_nn",3,0.818149052875443,0.576000000000001,""
15,"k_nn",5,0.835245197018226,0.774000000000001,""
15,"k_nn",10,0.856387645287488,0.564,""
15,"k_nn",15,0.876773268106932,0.585000000000001,""
15,"k_nn",25,0.88252015133726,0.581,""
15,"k_nn",50,0.909994189334941,0.510000000000002,""
16,"lambda",1e-04,0.766082162728869,0.758,""
16,"lambda",0.001,0.766080699955934,0.662,""
16,"lambda",0.005,0.766073777168848,0.637,""
16,"lambda",0.01,0.766064508343177,0.63,""
16,"lambda",0.05,0.765969824130692,0.656,""
16,"lambda",0.1,0.765810744156452,0.644,""
16,"lambda",0.5,0.763570417959896,0.63,""
16,"lambda",1,0.759457155537136,0.635,""
16,"gamma_y",0,-0.0861835466677263,0.601,""
16,"gamma_y",0.1,0.766004794625442,0.66,""
16,"gamma_y",0.5,0.76606311305016,0.66,""
16,"gamma_y",1,0.766064508343177,0.665000000000001,""
16,"gamma_y",2,0.766064600923663,0.676,""
16,"gamma_y",5,0.766064459886225,0.673,""
16,"gamma_y",10,0.766064386802348,0.673999999999999,""
16,"gamma_y",20,0.76606435021016,0.657999999999999,""
16,"k_nn",3,0.710662633018078,0.484999999999999,""
16,"k_nn",5,0.773913159238956,0.634,""
16,"k_nn",10,0.766064508343177,0.620999999999999,""
16,"k_nn",15,0.797104565224705,0.488,""
16,"k_nn",25,0.80904083329335,0.495000000000001,""
16,"k_nn",50,0.847622491077773,0.605,""
17,"lambda",1e-04,0.893343332897191,0.803,""
17,"lambda",0.001,0.893342535038074,0.691,""
17,"lambda",0.005,0.893337583793841,0.672,""
17,"lambda",0.01,0.893328868126013,0.636,""
17,"lambda",0.05,0.893191141091088,0.662,""
17,"lambda",0.1,0.892905409824029,0.632,""
17,"lambda",0.5,0.888737715752566,0.633,""
17,"lambda",1,0.881843014268396,0.638000000000001,""
17,"gamma_y",0,-0.0983122404962797,0.623,""
17,"gamma_y",0.1,0.893066138028712,0.637,""
17,"gamma_y",0.5,0.893315450793648,0.632,""
17,"gamma_y",1,0.893328868126013,0.635,""
17,"gamma_y",2,0.893333402796379,0.638,""
17,"gamma_y",5,0.893335318195077,0.649999999999999,""
17,"gamma_y",10,0.893335809358118,0.647,""
17,"gamma_y",20,0.893336026799991,0.640000000000001,""
17,"k_nn",3,0.86040919130599,0.49,""
17,"k_nn",5,0.889265518116352,0.629,""
17,"k_nn",10,0.893328868126013,0.617000000000001,""
17,"k_nn",15,0.902742378921498,0.625,""
17,"k_nn",25,0.923681700283534,0.489000000000001,""
17,"k_nn",50,0.938495143845514,0.481999999999999,""
18,"lambda",1e-04,0.895551621065681,0.797,""
18,"lambda",0.001,0.895551155996287,0.702,""
18,"lambda",0.005,0.895548019975382,0.667,""
18,"lambda",0.01,0.895542679291094,0.641,""
18,"lambda",0.05,0.89545880690533,0.627000000000001,""
18,"lambda",0.1,0.895276506980698,0.654999999999999,""
18,"lambda",0.5,0.892217119776692,0.62,""
18,"lambda",1,0.886608920422201,0.63,""
18,"gamma_y",0,-0.116449239404309,0.609999999999999,""
18,"gamma_y",0.1,0.895452250635677,0.632,""
18,"gamma_y",0.5,0.895542882073165,0.652000000000001,""
18,"gamma_y",1,0.895542679291094,0.649999999999999,""
18,"gamma_y",2,0.895541314411403,0.658000000000001,""
18,"gamma_y",5,0.895540051060302,0.67,""
18,"gamma_y",10,0.895539559712079,0.671000000000001,""
18,"gamma_y",20,0.895539306967229,0.654,""
18,"k_nn",3,0.783290739459785,0.501999999999999,""
18,"k_nn",5,0.807178393399736,0.491,""
18,"k_nn",10,0.895542679291094,0.632000000000001,""
18,"k_nn",15,0.914168070381364,0.634,""
18,"k_nn",25,0.928592752037032,0.619,""
18,"k_nn",50,0.883021290867798,0.570999999999998,""
19,"lambda",1e-04,0.682845324915601,0.765,""
19,"lambda",0.001,0.682844084325783,0.66,""
19,"lambda",0.005,0.682838464825582,0.635,""
19,"lambda",0.01,0.682830970021785,0.624000000000001,""
19,"lambda",0.05,0.682756511806065,0.653,""
19,"lambda",0.1,0.682634110940679,0.641,""
19,"lambda",0.5,0.680916569060036,0.64,""
19,"lambda",1,0.677741772899614,0.639,""
19,"gamma_y",0,-0.0919171499150539,0.628000000000001,""
19,"gamma_y",0.1,0.682800169471755,0.655999999999999,""
19,"gamma_y",0.5,0.682831298780231,0.661999999999999,""
19,"gamma_y",1,0.682830970021785,0.662000000000001,""
19,"gamma_y",2,0.682830369604128,0.661,""
19,"gamma_y",5,0.682829854798169,0.674000000000001,""
19,"gamma_y",10,0.682829655340084,0.663,""
19,"gamma_y",20,0.682829550195795,0.657,""
19,"k_nn",3,0.696710379253274,0.482000000000001,""
19,"k_nn",5,0.710972687165434,0.624000000000001,""
19,"k_nn",10,0.682830970021785,0.619999999999997,""
19,"k_nn",15,0.683411460612981,0.635000000000002,""
19,"k_nn",25,0.696882766731454,0.629000000000001,""
19,"k_nn",50,0.739654965970413,0.607000000000003,""
20,"lambda",1e-04,0.916896565273713,0.802,""
20,"lambda",0.001,0.916895745083601,0.703,""
20,"lambda",0.005,0.916890625358785,0.680000000000001,""
20,"lambda",0.01,0.916881593713123,0.665,""
20,"lambda",0.05,0.916740267067269,0.67,""
20,"lambda",0.1,0.916447958274092,0.664000000000001,""
20,"lambda",0.5,0.91221685552912,0.666,""
20,"lambda",1,0.905177728168146,0.633,""
20,"gamma_y",0,-0.102235250378878,0.644,""
20,"gamma_y",0.1,0.916600613588783,0.654,""
20,"gamma_y",0.5,0.916866357648272,0.659000000000001,""
20,"gamma_y",1,0.916881593713123,0.641,""
20,"gamma_y",2,0.916886996027068,0.643999999999998,""
20,"gamma_y",5,0.916889399482023,0.646000000000001,""
20,"gamma_y",10,0.916890041031905,0.635,""
20,"gamma_y",20,0.916890328597893,0.66,""
