"rep","arm","condition","method","sil","nmi","ber","n_used","ess","elapsed","error"
61,"A","mar","IntegrAO",-0.0431874304590424,0.0151574421288596,0.693333333333333,300,1,37.834,NA
62,"A","complete","IntegrAO",-0.0444369868103847,0.00995137126738621,0.653333333333333,300,1,105.013,NA
62,"A","mcar30","IntegrAO",-0.0448195939049919,0.024071040459686,0.723333333333333,300,1,75.675,NA
62,"A","mcar50","IntegrAO",-0.0552558471187485,0.0360317360957149,0.733333333333333,300,1,66.241,NA
62,"A","mar","IntegrAO",-0.0351744321473779,0.0215688003966594,0.71,300,1,82.173,NA
63,"A","complete","IntegrAO",-0.0570027456329852,0.0171218431806371,0.68,300,1,107.294,NA
63,"A","mcar30","IntegrAO",-0.0404552466101692,0.00547253179870338,0.75,300,1,74.117,NA
63,"A","mcar50","IntegrAO",-0.0563745956377711,0.023743370395411,0.706666666666667,300,1,61.065,NA
63,"A","mar","IntegrAO",-0.0513844047458484,0.0154179525347529,0.733333333333333,300,1,73.154,NA
64,"A","complete","IntegrAO",-0.0594727825863422,0.0129942692488634,0.676666666666667,300,1,109.268,NA
64,"A","mcar30","IntegrAO",-0.0466579818301925,0.0136767955663132,0.683333333333333,300,1,88.073,NA
64,"A","mcar50","IntegrAO",-0.0426309448875173,0.0110430527564581,0.74,300,1,51.462,NA
64,"A","mar","IntegrAO",-0.046218950929274,0.0641455665859947,0.643333333333333,300,1,75.563,NA
65,"A","complete","IntegrAO",-0.0510874867488391,0.015510914704439,0.753333333333333,300,1,104.278,NA
65,"A","mcar30","IntegrAO",-0.0421821107646123,0.00515728596875428,0.78,300,1,71.911,NA
65,"A","mcar50","IntegrAO",-0.051194190585178,0.00907674045472762,0.756666666666667,300,1,72.252,NA
65,"A","mar","IntegrAO",-0.0322622307683199,0.0108380044611632,0.713333333333333,300,1,74.201,NA
66,"A","complete","IntegrAO",-0.0461257691396157,0.00531399777578184,0.7,300,1,100.046,NA
66,"A","mcar30","IntegrAO",-0.0570184454302603,0.0133202927391475,0.726666666666667,300,1,76.493,NA
